angle_of_attack,reynolds_number,cl,cd
-5.0,200000,-0.55,0.022
-4.5,200000,-0.497,0.0205
-4.0,200000,-0.443,0.0192
-3.5,200000,-0.388,0.0181
-3.0,200000,-0.333,0.0172
-2.5,200000,-0.278,0.0164
-2.0,200000,-0.223,0.0158
-1.5,200000,-0.167,0.0153
-1.0,200000,-0.111,0.0149
-0.5,200000,-0.055,0.0146
0.0,200000,0.0,0.0144
0.5,200000,0.055,0.0146
1.0,200000,0.111,0.0149
1.5,200000,0.167,0.0153
2.0,200000,0.223,0.0158
2.5,200000,0.278,0.0164
3.0,200000,0.333,0.0172
3.5,200000,0.387,0.0181
4.0,200000,0.441,0.0193
4.5,200000,0.493,0.0206
5.0,200000,0.544,0.022
5.5,200000,0.593,0.0236
6.0,200000,0.64,0.0253
6.5,200000,0.684,0.0273
7.0,200000,0.725,0.0295
7.5,200000,0.763,0.032
8.0,200000,0.797,0.0349
8.5,200000,0.827,0.0382
9.0,200000,0.853,0.0421
9.5,200000,0.874,0.0466
10.0,200000,0.889,0.052
10.5,200000,0.897,0.0583
11.0,200000,0.898,0.0654
11.5,200000,0.891,0.0735
12.0,200000,0.876,0.0826
12.5,200000,0.852,0.0926
13.0,200000,0.82,0.1036
13.5,200000,0.793,0.115
14.0,200000,0.782,0.127
14.5,200000,0.774,0.14
15.0,200000,0.772,0.154
15.5,200000,0.775,0.169
16.0,200000,0.783,0.186
16.5,200000,0.781,0.204
17.0,200000,0.778,0.223
17.5,200000,0.776,0.244
18.0,200000,0.774,0.267
18.5,200000,0.771,0.291
19.0,200000,0.768,0.316
19.5,200000,0.766,0.343
20.0,200000,0.764,0.371
-5.0,500000,-0.526,0.016
-4.5,500000,-0.475,0.015
-4.0,500000,-0.424,0.0141
-3.5,500000,-0.372,0.0134
-3.0,500000,-0.32,0.0128
-2.5,500000,-0.268,0.0123
-2.0,500000,-0.216,0.0119
-1.5,500000,-0.162,0.0116
-1.0,500000,-0.108,0.0114
-0.5,500000,-0.054,0.0112
0.0,500000,0.0,0.0111
0.5,500000,0.054,0.0112
1.0,500000,0.108,0.0114
1.5,500000,0.162,0.0116
2.0,500000,0.216,0.0119
2.5,500000,0.27,0.0123
3.0,500000,0.324,0.0128
3.5,500000,0.376,0.0134
4.0,500000,0.428,0.0141
4.5,500000,0.479,0.0149
5.0,500000,0.529,0.0157
5.5,500000,0.578,0.0167
6.0,500000,0.626,0.0177
6.5,500000,0.672,0.0189
7.0,500000,0.717,0.0203
7.5,500000,0.76,0.0218
8.0,500000,0.801,0.0235
8.5,500000,0.839,0.0255
9.0,500000,0.875,0.0277
9.5,500000,0.908,0.0302
10.0,500000,0.938,0.0331
10.5,500000,0.964,0.0364
11.0,500000,0.986,0.0402
11.5,500000,1.004,0.0446
12.0,500000,1.016,0.0496
12.5,500000,1.022,0.0554
13.0,500000,1.021,0.062
13.5,500000,1.012,0.0696
14.0,500000,0.994,0.0782
14.5,500000,0.968,0.088
15.0,500000,0.934,0.099
15.5,500000,0.893,0.111
16.0,500000,0.852,0.124
16.5,500000,0.826,0.139
17.0,500000,0.81,0.156
17.5,500000,0.799,0.174
18.0,500000,0.79,0.194
18.5,500000,0.783,0.215
19.0,500000,0.776,0.238
19.5,500000,0.77,0.263
20.0,500000,0.764,0.289
-5.0,1000000,-0.5243,0.015
-4.5,1000000,-0.4735,0.0143
-4.0,1000000,-0.4228,0.0137
-3.5,1000000,-0.37,0.0134
-3.0,1000000,-0.3171,0.0131
-2.5,1000000,-0.2643,0.0128
-2.0,1000000,-0.2114,0.0125
-1.5,1000000,-0.1586,0.0122
-1.0,1000000,-0.1057,0.0119
-0.5,1000000,-0.0529,0.0116
0.0,1000000,0.0,0.0113
0.5,1000000,0.0529,0.0116
1.0,1000000,0.1057,0.0119
1.5,1000000,0.1586,0.0122
2.0,1000000,0.2114,0.0125
2.5,1000000,0.2643,0.0128
3.0,1000000,0.3171,0.0131
3.5,1000000,0.37,0.0134
4.0,1000000,0.4228,0.0137
4.5,1000000,0.4735,0.0143
5.0,1000000,0.5243,0.015
5.5,1000000,0.575,0.0156
6.0,1000000,0.6257,0.0162
6.5,1000000,0.6747,0.0172
7.0,1000000,0.7237,0.0181
7.5,1000000,0.7709,0.0193
8.0,1000000,0.8182,0.0205
8.5,1000000,0.8613,0.0222
9.0,1000000,0.9044,0.024
9.5,1000000,0.9475,0.0257
10.0,1000000,0.9907,0.0274
10.5,1000000,1.0196,0.0303
11.0,1000000,1.0486,0.0332
11.5,1000000,1.0776,0.0361
12.0,1000000,1.1066,0.039
12.5,1000000,1.1253,0.0451
13.0,1000000,1.144,0.0518
13.5,1000000,1.1626,0.0591
14.0,1000000,1.1813,0.0671
14.5,1000000,1.2,0.0761
15.0,1000000,1.1145,0.1006
15.5,1000000,1.0422,0.1176
16.0,1000000,0.983,0.1366
16.5,1000000,0.9304,0.1576
17.0,1000000,0.8844,0.1806
17.5,1000000,0.8449,0.2056
18.0,1000000,0.8121,0.2326
18.5,1000000,0.7858,0.2606
19.0,1000000,0.7595,0.2906
19.5,1000000,0.7397,0.3226
20.0,1000000,0.72,0.3566
-5.0,2000000,-0.523,0.0132
-4.5,2000000,-0.472,0.0126
-4.0,2000000,-0.421,0.0121
-3.5,2000000,-0.369,0.0117
-3.0,2000000,-0.316,0.0114
-2.5,2000000,-0.263,0.0111
-2.0,2000000,-0.21,0.0109
-1.5,2000000,-0.157,0.0107
-1.0,2000000,-0.105,0.0105
-0.5,2000000,-0.052,0.0104
0.0,2000000,0.0,0.0103
0.5,2000000,0.052,0.0104
1.0,2000000,0.105,0.0105
1.5,2000000,0.157,0.0107
2.0,2000000,0.21,0.0109
2.5,2000000,0.263,0.0111
3.0,2000000,0.316,0.0114
3.5,2000000,0.369,0.0117
4.0,2000000,0.421,0.0121
4.5,2000000,0.473,0.0127
5.0,2000000,0.525,0.0133
5.5,2000000,0.576,0.014
6.0,2000000,0.627,0.0148
6.5,2000000,0.677,0.0157
7.0,2000000,0.726,0.0167
7.5,2000000,0.774,0.0178
8.0,2000000,0.82,0.019
8.5,2000000,0.865,0.0204
9.0,2000000,0.909,0.0219
9.5,2000000,0.95,0.0236
10.0,2000000,0.99,0.0254
10.5,2000000,1.028,0.0275
11.0,2000000,1.064,0.0298
11.5,2000000,1.097,0.0323
12.0,2000000,1.128,0.0351
12.5,2000000,1.156,0.0383
13.0,2000000,1.18,0.0421
13.5,2000000,1.201,0.0467
