angle_of_attack,cl,cd
-5.0,-0.5243,0.015
-4.5,-0.4735,0.0143
-4.0,-0.4228,0.0137
-3.5,-0.37,0.0134
-3.0,-0.3171,0.0131
-2.5,-0.2643,0.0128
-2.0,-0.2114,0.0125
-1.5,-0.1586,0.0122
-1.0,-0.1057,0.0119
-0.5,-0.0529,0.0116
0.0,0.0,0.0113
0.5,0.0529,0.0116
1.0,0.1057,0.0119
1.5,0.1586,0.0122
2.0,0.2114,0.0125
2.5,0.2643,0.0128
3.0,0.3171,0.0131
3.5,0.37,0.0134
4.0,0.4228,0.0137
4.5,0.4735,0.0143
5.0,0.5243,0.015
5.5,0.575,0.0156
6.0,0.6257,0.0162
6.5,0.6747,0.0172
7.0,0.7237,0.0181
7.5,0.7709,0.0193
8.0,0.8182,0.0205
8.5,0.8613,0.0222
9.0,0.9044,0.024
9.5,0.9475,0.0257
10.0,0.9907,0.0274
10.5,1.0196,0.0303
11.0,1.0486,0.0332
11.5,1.0776,0.0361
12.0,1.1066,0.039
12.5,1.1253,0.0451
13.0,1.144,0.0518
13.5,1.1626,0.0591
14.0,1.1813,0.0671
14.5,1.2,0.0761
15.0,1.1145,0.1006
15.5,1.0422,0.1176
16.0,0.983,0.1366
16.5,0.9304,0.1576
17.0,0.8844,0.1806
17.5,0.8449,0.2056
18.0,0.8121,0.2326
18.5,0.7858,0.2606
19.0,0.7595,0.2906
19.5,0.7397,0.3226
20.0,0.72,0.3566
