angle_of_attack,velocity_kmh,cl,cd
-5.0,120.0,-0.380,0.0180
-4.5,120.0,-0.335,0.0165
-4.0,120.0,-0.290,0.0152
-3.5,120.0,-0.245,0.0142
-3.0,120.0,-0.198,0.0134
-2.5,120.0,-0.150,0.0128
-2.0,120.0,-0.100,0.0123
-1.5,120.0,-0.050,0.0119
-1.0,120.0,0.000,0.0116
-0.5,120.0,0.052,0.0114
0.0,120.0,0.105,0.0113
0.5,120.0,0.158,0.0114
1.0,120.0,0.210,0.0116
1.5,120.0,0.263,0.0119
2.0,120.0,0.315,0.0123
2.5,120.0,0.368,0.0128
3.0,120.0,0.420,0.0134
3.5,120.0,0.473,0.0142
4.0,120.0,0.525,0.0152
4.5,120.0,0.578,0.0165
5.0,120.0,0.630,0.0180
5.5,120.0,0.682,0.0197
6.0,120.0,0.735,0.0216
6.5,120.0,0.786,0.0238
7.0,120.0,0.838,0.0262
7.5,120.0,0.889,0.0289
8.0,120.0,0.940,0.0318
8.5,120.0,0.990,0.0350
9.0,120.0,1.040,0.0385
9.5,120.0,1.088,0.0423
10.0,120.0,1.135,0.0464
10.5,120.0,1.180,0.0508
11.0,120.0,1.224,0.0556
11.5,120.0,1.265,0.0608
12.0,120.0,1.305,0.0664
12.5,120.0,1.342,0.0725
13.0,120.0,1.376,0.0792
13.5,120.0,1.408,0.0865
14.0,120.0,1.435,0.0945
14.5,120.0,1.450,0.1035
15.0,120.0,1.320,0.1280
15.5,120.0,1.210,0.1450
16.0,120.0,1.120,0.1640
16.5,120.0,1.040,0.1850
17.0,120.0,0.970,0.2080
17.5,120.0,0.910,0.2330
18.0,120.0,0.860,0.2600
18.5,120.0,0.820,0.2880
19.0,120.0,0.780,0.3180
19.5,120.0,0.750,0.3500
20.0,120.0,0.720,0.3840
